Job Title,Company/Organization,Location,Job Link
"Associate Director, Emerging Technology and Industry Practice",Ada Lovelace Institute,London,https://micro.green-park.co.uk/adalovelace/assistant-director-emerging-technology-industry-practice/
Member - Oversight Board,Ada Lovelace Institute,London,https://micro.green-park.co.uk/adalovelace/role-description/
Chief Compliance Officer,State of Illinois,Chicago,https://illinois.jobs2web.com/job/Springfield-Chief-Compliance-Officer-%28SPSA-Opt_-1%29-IL-62702-5170/1323007100/?utm_campaign=doitrtjb
Membership Development Manager - Trust and Safety,Tech Coalition,Remote (U.S.- based),https://technologycoalition.org/careers/membership-development-manager/
Founding Ethicist & Legal Architect,TechnoEthos,Remote,https://airtable.com/appZ968CxA7zA3A6Y/pagk2D5KbENpEtDTd/form
Policy Researcher,Ada Lovelace Institute,London,https://app.beapplied.com/apply/q6sgozzur4?utm_source=atih
Communications Manager,Creative Commons,Remote,https://creative-commons.breezy.hr/p/6aa5381715de-communications-manager
Executive Director of Digital Suppression/Women’s Rights Program,Center for Intimacy Justice,Remote,https://www.intimacyjustice.org/careers
Berkman Klein Center Call for Applications: 2025-2026 BKC Fellowship,The Berkman Klein Center for Internet & Society at Harvard University,"Cambridge,MA",https://cyber.harvard.edu/getinvolved/fellowships/2526Fellows
Sr. Responsible AI Risk & Compliance Specialist,eBay,Remote,https://ebay.wd5.myworkdayjobs.com/apply/job/San-Jose/Sr-Responsible-AI-Risk---Compliance-Spec_R0066628
"Associate Director, Emerging Technology and Industry Practice",Ada Lovelace Institute,London,https://app.beapplied.com/apply/kefx3rvpmg?utm_source=atih
Chief Compliance Officer,State of Illinois,"Springfield, IL",https://illinois.jobs2web.com/job/Springfield-Chief-Compliance-Officer-IL-62702-5170/1255293200/?utm_campaign=doitrtjb
Technology Equity Manager,"City of South Bend, Indiana","South Bend, Indiana",https://recruiting.myapps.paychex.com/appone/MainInfoReq.asp?R_ID=6580999&B_ID=91&fid=1&Adid=0&ssbgcolor=FFFFFF&SearchScreenID=2301&CountryID=3&LanguageID=2
Algorithmic Justice Fellow,American Civil Liberties Union (ACLU),"Washington, D.C.",https://www.aclu.org/careers/apply/?job=7742482002&type=national
Technology and Human Rights Fellowship,Harvard Kennedy School Carr Center for Human Rights Policy,Remote,https://www.hks.harvard.edu/centers/carr/opportunities/fellowship-opportunities/technology-and-human-rights-fellowship
"Head of Division - Digital Connectivity, Economics and Society",OECD,"Paris, France",https://jobs.smartrecruiters.com/OECD/744000023562425-head-of-division-digital-connectivity-economics-and-society
"Senior Director, AI Governance",PlayStation,"San Mateo, California",https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/5354258004?gh_src=c81250474us
Associate Ethics and Privacy Counsel,Novo Nordisk,"Bagsværd, Denmark",https://www.novonordisk.com/careers/find-a-job/job-ad.317296.en_GB.html
"Research Scientist, Humanity, Ethics and Alignment",Google,"London, United Kingdom",https://boards.greenhouse.io/deepmind/jobs/6351433
"Assistant Director for Ethics, Society, & Technology Initiatives",Stanford University,"Stanford, CA",https://careersearch.stanford.edu/jobs/assistant-director-for-ethics-society-technology-initiatives-27064
Summer 2025 Intern - Office of Ethical and Humane Use Policy,Salesforce,"San Francisco, CA",https://careers.salesforce.com/en/jobs/jr267543/summer-2025-intern-office-of-ethical-and-humane-use-policy/
Directory of Advertising Industry Advocacy,Center for Countering Digital Hate,DC,https://counterhate.com/jobs/#director-of-advertising-industry-advocacy
"Senior Manager, Privacy and Data Ethics M/F",Gilead,"Uxbridge, United Kingdom",https://gilead.wd1.myworkdayjobs.com/gileadcareers/job/United-Kingdom---Uxbridge/Senior-Manager--Privacy-and-Data-Ethics-M-F_R0041634-1?sid=132
Manager - Online Industry Transparency & Accountability (BOSE),"Australia Government, eSafety Commissioner (eSafety)","Belconnen ACT, Melbourne VIC, Pyrmont NSW",https://www.apsjobs.gov.au/s/temporary-opportunity?title=manager-online-industry-transparency-accountability-bose-&Id=a05OY0000067FEzYAM
Government Affairs Coordinator,truepic,Washington DC,https://job-boards.greenhouse.io/truepiccareers/jobs/5320497004
Gen AI Security Researcher,ActiveFence,"Ramat Gan, IL, Tel Aviv District",https://www.activefence.com/careers/?comeet_pos=9D.442
Researcher / Senior Researcher - AI Policy and Standards,Institute for AI Policy and Strategy,"This role is fully remote, and we are able to legally hire in most countries, though we have a preference for one of our two roles to be based in Washington DC.",https://careers.rethinkpriorities.org/postings/8457d224-4e31-477a-9cbe-84b2f86f897d?token=vVPxvrQea1sRUBejg4asx3ZH
Programs Manager,Issue One,"Washington, DC",https://issueonereform.bamboohr.com/careers/79
"Senior Research Associate, Health Grand Challenge - Machine Learning for Healthcare and Medicine",The Alan Turing Institute,London,https://cezanneondemand.intervieweb.it/turing/jobs/senior-research-associate-health-grand-challenge-machine-learning-for-healthcare-and-medicine-45417/en/
"Research Associate, Health Grand Challenge - Machine Learning for Healthcare and Medicine",The Alan Turing Institute,London,https://cezanneondemand.intervieweb.it/turing/jobs/research-associate-health-grand-challenge-machine-learning-for-healthcare-and-medicine-45418/en/
"Senior Research Associate – Networks and Systems Security, Machine Learning – Defence & National Security",The Alan Turing Institute,London,https://cezanneondemand.intervieweb.it/turing/jobs/senior-research-associate-networks-and-systems-security-machine-learning-defence-national-security-45463/en/
