job_title,company,location,job_link,has_keyword,Work Type,Employer Type,Policy,AI Governance,Responsible AI,Cybersecurity,Privacy,Data Governance,Data Science,Digital Governance,Digital Ethics,Digital Inclusion,Digital Rights,Civic Tech,Social Impact,Trust & Safety,Human Rights,Human-Centered Design,UX Design,Research,Education,Arts,Journalism,Language,Ethics,History,Culture,Developer,Open Source,Other
Telementor Fellowship,Seeds of Fortune,"New York, NY, USA",https://docs.google.com/document/d/1v5kPa3CaUyLb9p6YYqjuf9zHBc0w_r-XLpNIwe3IHIM/edit?tab=t.0&utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board,yes,On-site,Private,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
General Volunteering Opportunities: Digital Democracy,We Vote,"California, USA",https://jobs.ffwd.org/companies/we-vote/jobs/45033494-general-volunteering-opportunities-digital-democracy#content,yes,Remote,Private,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
General Application,Democracy Works,United States; Remote,https://jobs.ffwd.org/companies/democracy-works/jobs/44850149-general-application#content,yes,Remote,Government,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no
"Research Scientist, Scientific Discovery",Allen Institute for Artificial Intelligence,"Seattle, WA, USA",https://jobs.ffwd.org/companies/allen-institute-for-artificial-intelligence/jobs/43748786-research-scientist-scientific-discovery#content,yes,On-site,Government,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no
Senior Software Engineer,codepath-org,United States; Canada; Remote,https://jobs.ffwd.org/companies/codepath-org-2-50165d4f-13a0-45ca-8386-7c6a06a3a55a/jobs/43571280-senior-software-engineer#content,yes,Remote,Non-profit,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,no,no
Staff Software Engineer,codepath-org,United States; Canada; Remote,https://jobs.ffwd.org/companies/codepath-org-2-50165d4f-13a0-45ca-8386-7c6a06a3a55a/jobs/43571282-staff-software-engineer#content,yes,Remote,Non-profit,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,no,no
General Application,codepath-org,United States; Remote,https://jobs.ffwd.org/companies/codepath-org-2-50165d4f-13a0-45ca-8386-7c6a06a3a55a/jobs/43571270-general-application#content,yes,Remote,Non-profit,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no
Internship,Miracle Messages,"San Francisco, CA, USA",https://www.miraclemessages.org/careers?utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board,yes,Remote,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no
Director of Operations and Projects,Climate Change AI,United States; Remote,https://jobs.ffwd.org/companies/climate-change-ai-2/jobs/43082710-director-of-operations-and-projects#content,yes,Remote,Non-profit,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no
US Research Analyst,PolicyEngine,"Remote; Washington, DC, USA",https://policyengine.org/us/jobs/?job=6&utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board,yes,Remote,Private,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Economic Research Intern,PolicyEngine,United States; Canada; Remote,https://policyengine.org/us/jobs?utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board#5dsc0h9xswpafmfs0nr6os0vg&:~:text=Economic%20Research%20Intern,yes,Remote,Private,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Data Science Intern,PolicyEngine,United States; Remote,https://policyengine.org/us/jobs?utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board#etn8cmc9urmh84f1w0ct2kn60&:~:text=Data%20Science%20Intern,yes,Remote,Private,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Software Engineering Intern,PolicyEngine,United States; Remote,https://policyengine.org/us/jobs?utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board#92a9idilscq52y454032bnzky&:~:text=Software%20Engineering%20Intern,yes,Remote,Private,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
AI Institute Fellowship Program,datadotorg,"New York, NY, USA",https://jobs.ffwd.org/companies/datadotorg/jobs/42590566-ai-institute-fellowship-program#content,yes,On-site,Private,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no
"Professional Learning Consultant, Mathematics (Per Diem/Contract Position)",PowerMyLearning,"Los Angeles, CA, USA",https://jobs.ffwd.org/companies/powermylearning/jobs/41978234-professional-learning-consultant-mathematics-per-diem-contract-position#content,yes,On-site,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no
"State Partnerships Manager (Austin, TX)",Recidiviz,"Austin, TX, USA",https://jobs.ffwd.org/companies/recidiviz/jobs/41920729-state-partnerships-manager-austin-tx#content,yes,Remote,Government,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,no
Regional Director,Objective Zero Foundation,"Sioux Falls, SD, USA",https://www.objectivezero.org/volunteer?job=2&utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board,yes,On-site,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no
"ENGINEER, SCIENTIST, MAKER, HACKER, SUPER HERO",Conservation X Labs,"Washington, DC, USA",https://jobs.ffwd.org/companies/conservation-x-labs/jobs/40716399-engineer-scientist-maker-hacker-super-hero#content,yes,On-site,Private,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no
Engineer with legal experience,Open Law Library,United States; Remote,https://openlawlib.org/careers/?utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board#job=2,yes,Remote,Government,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no
Professional Learning Consultant (Per Diem/Contract Position),PowerMyLearning,"Los Angeles, CA, USA",https://jobs.ffwd.org/companies/powermylearning/jobs/40605801-professional-learning-consultant-per-diem-contract-position#content,yes,On-site,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no
Join our Khan Kids talent community!,Khan Academy,"San Mateo, CA, USA",https://jobs.ffwd.org/companies/khan-academy/jobs/40601114-join-our-khan-kids-talent-community#content,yes,On-site,Private,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no
Key Accounts Manager,MIND Research Institute,"Texas, USA",https://jobs.ffwd.org/companies/mind-research-institute/jobs/38731433-key-accounts-manager#content,yes,Remote,Non-profit,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no
Writing Coach,Seeds of Fortune,"New York, NY, USA",https://www.seedsoffortune.org/jobs?job=1&utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board,yes,On-site,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Policy Modeling Intern,PolicyEngine,United States; Canada; Remote,https://policyengine.org/us/jobs?utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board#u1hxu8r0ok0rftrxzp8pyek3&:~:text=Policy%20Modeling%20Intern,yes,Remote,Private,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Hackathon AI Curriculum Developer,NeighbourCall,"New York, NY, USA",https://jobs.ffwd.org/companies/neighbourcall/jobs/37313437-hackathon-ai-curriculum-developer#content,yes,On-site,Non-profit,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no
"Research Scientist, AllenNLP",Allen Institute for Artificial Intelligence,"Seattle, WA, USA",https://jobs.ffwd.org/companies/allen-institute-for-artificial-intelligence/jobs/36215376-research-scientist-allennlp#content,yes,Remote,Government,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,no
Redd West Kitchen,Ecotrust,"Portland, OR, USA",https://jobs.ffwd.org/companies/ecotrust/jobs/35251985-redd-west-kitchen#content,yes,On-site,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
Research,Open Food Network USA,United States; Canada; Mexico,https://airtable.com/appUZCOPb4sac8anR/shr5dz6DdPSJrD9s5/tblLa4JeHI4qzZIzy/viwvG6W2zD7U5Ldah/recXLENGVUnZgmc0D?viewControls=on&utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board,yes,On-site,Government,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no
User Support,Open Food Network USA,United States; Canada; Mexico,https://airtable.com/appUZCOPb4sac8anR/shr5dz6DdPSJrD9s5/tblLa4JeHI4qzZIzy/viwvG6W2zD7U5Ldah/recFvpMlSoIUsMsU0?viewControls=on&utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board,yes,On-site,Government,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no
Joymaker,curaJoy,"Carlsbad, CA, USA",https://www.curajoy.org/join-us/?job=5&utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board,yes,On-site,Private,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no
Spanish Translator,Open Food Network USA,United States; Canada; Mexico,https://airtable.com/appUZCOPb4sac8anR/shr5dz6DdPSJrD9s5/tblLa4JeHI4qzZIzy/viwvG6W2zD7U5Ldah/recU5qCjIiie2Oj47?viewControls=on&utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board,yes,On-site,Government,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no
"Web Designers--HTML, CSS, Javascript, Bootstrap",Break Diving,"Port Chester, NY, USA",https://www.breakdiving.org/volunteer?utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board#job=17,yes,Remote,Private,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no
"RoR Coders--RoR, Javascript, AJAX, JSON, jQuery",Break Diving,"Port Chester, NY, USA",https://www.breakdiving.org/volunteer?utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board#job=15,yes,Remote,Private,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no
Job title,NeighbourCall,"Buffalo, NY, USA",https://info.devpost.com/careers?utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board#,yes,Remote,Non-profit,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no
Redd East Kitchen,Ecotrust,"Portland, OR, USA",https://jobs.ffwd.org/companies/ecotrust/jobs/30438965-redd-east-kitchen#content,yes,On-site,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
Community Asset Development,Ecotrust,"Portland, OR, USA",https://jobs.ffwd.org/companies/ecotrust/jobs/28050044-community-asset-development#content,yes,On-site,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
Software Engineering Intern,Big & Mini,United States,https://jobs.ffwd.org/companies/big-mini/jobs/26410360-software-engineering-intern#content,yes,Remote,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no
Software Engineer,Big & Mini,United States,https://jobs.ffwd.org/companies/big-mini/jobs/26410358-software-engineer#content,yes,Remote,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no
Open Application,Worldreader.org,"California, USA; Remote",https://jobs.ffwd.org/companies/worldreader-org-2/jobs/26276233-open-application#content,yes,Remote,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
Open Application,New Story Charity,"Austin, TX, USA; Los Angeles, CA, USA; New York, NY, USA; Atlanta, GA, USA",https://jobs.ffwd.org/companies/new-story-charity/jobs/25295238-open-application#content,yes,On-site,Government,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no
Product Development Consultant,Video Volunteers,United States; Remote,https://www.videovolunteers.org/about/work-with-us/product-development-consultant/?utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board,yes,Remote,Private,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no
Community Manager,Open mHealth,"San Francisco, CA, USA",https://www.openmhealth.org/hiring-community-manager/?utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board,yes,On-site,Non-profit,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no
College Access Program Assistants,The Scholarship Academy,"Atlanta, GA, USA",https://www.scholarshipacademy.org/online/careers/?job=1&utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board,yes,On-site,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Backend Engineer For OONI,Tor Project,"Remote; Seattle, WA, USA",https://www.torproject.org/about/jobs/?job=1&utm_source=Fast+Forward+job+board&utm_medium=getro.com&gh_src=Fast+Forward+job+board,yes,Remote,Private,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no
UK Policy Advocate/Lead,Future of Life Institute,London,https://jobs.lever.co/futureof-life/f8ec847b-0bd3-4f41-bd59-3e387158769d?,yes,Remote,Government,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
Operations Analyst,The Future Society,"Remote, based between Eastern Time (ET) and Central European Time (CET). Applicants must have the legal right to live and work in the country where they are based.",https://thefuturesociety.org/work-with-us/,yes,Remote,Government,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no
"Senior Manager, Compliance",AWO,United Kingdom,https://app.beapplied.com/apply/5jamliwujc?utm_source=All_Tech_Is_Human,yes,Remote,Non-profit,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Principal Policy Adviser for AI Policy - Parental Leave cover,Information Commissioner’s Office,Remote,https://ico.wd3.myworkdayjobs.com/en-GB/ICO/job/Wilmslow-Cheshire/Principal-Policy-Adviser---AI--Policy---Compliance-teams-_JR653,yes,Remote,Private,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Principal Policy Adviser for the Code on AI and Automated Decision-Making,Information Commissioner’s Office,Remote,https://ico.wd3.myworkdayjobs.com/en-GB/ICO/job/Wycliffe-House/Principal-Policy-Adviser---AI-and-ADM-Code-of-Practice_JR606,yes,Remote,Private,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Associate Director, Emerging Technology and Industry Practice",Ada Lovelace Institute,London,https://micro.green-park.co.uk/adalovelace/assistant-director-emerging-technology-industry-practice/,yes,On-site,Government,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,yes,no,no
Lantern Program Director,Tech Coalition,"Remote, must be based in United States",https://technologycoalition.org/careers/lantern-director/,yes,Remote,Government,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no
NobleReach Scholar,NobleReach,Remote,https://noblereach.smapply.us/prog/2026_noblereach_scholars_program/,yes,Remote,Private,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Member - Oversight Board,Ada Lovelace Institute,London,https://micro.green-park.co.uk/adalovelace/role-description/,yes,On-site,Government,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no
Research Manager,MATS,"Berkeley, London",https://www.matsprogram.org/careers,yes,Remote,Non-profit,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,no
AI & Data Ethics Governance Specialist,Australian Retirement Trust,"Brisbane, Sydney, Melbourne",https://australianretirementtrust.expr3ss.com/jobDetails?selectJob=2145&ppt=1c30c8be,yes,On-site,Private,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Principal Policy Adviser – AI and ADM (Automated Decision-Making) Code of Practice,Information Commissioners Office (ICO),"Wilmslow, London, Edinburgh, Cardiff or Belfast",https://ico.wd3.myworkdayjobs.com/en-GB/ICO/details/Principal-Policy-Adviser---AI-and-ADM-Code-of-Practice_JR606,yes,On-site,Private,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Senior Policy Advisor - AI Policy & Governance,Tony Blair Institute for Global Change,London,https://www.linkedin.com/jobs/view/4292798851/,yes,Remote,Government,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no
Senior Manager - Responsible AI Governance,BMO,Toronto (Hybrid),https://bmo.wd3.myworkdayjobs.com/External/job/Toronto-ON-CAN/Senior-Manager---Responsible-AI-Governance_R250022704,yes,On-site,Private,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Executive Director,Singapore AI Safety Hub,Singapore,https://www.aisafety.sg/jobs,yes,On-site,Government,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no
"AI Governance Advisor, EU",Credo AI,Remote,https://www.credo.ai/jobs?ashby_jid=ab803371-fb48-4160-be99-f11b467b5012,yes,Remote,Private,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
Policy Researcher,Ada Lovelace Institute,London,https://app.beapplied.com/apply/q6sgozzur4?utm_source=atih,yes,On-site,Non-profit,yes,yes,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no
"Principal, Programs (Technology Policy)",Omidyar Network,Washington DC,https://grnh.se/ig9b3d3m1us,yes,Remote,Private,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Senior Research Manager or Director of Research – Artificial Intelligence Policy (Multiple Roles Across Teams and Titles),Institute for AI Policy and Strategy,"emote (we are able to hire in most countries), with a preference for candidates who are based or would be willing to relocate to Washington, D.C., or the San Francisco Bay Area (visa sponsorship available)",https://form.fillout.com/t/5jhn4ESHm2us,yes,On-site,Private,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Researchers / Senior Researchers – Artificial Intelligence (AI) Policy and Strategy,Institute for AI Policy and Strategy (IAPS),"remote (we are able to hire in most countries), with a preference for candidates who are based or would be willing to relocate to Washington, D.C., or the San Francisco Bay Area (visa sponsorship available)",https://form.fillout.com/t/uGRXDEDequus,yes,Remote,Private,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Research Scholar,Centre for the Governance of AI,London,https://www.governance.ai/post/research-scholar,yes,Remote,Government,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no
Research Fellow,Centre for the Governance of AI,London,https://www.governance.ai/post/research-fellow,yes,Remote,Government,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no
Winter Fellowship,Centre for the Governance of AI,London,https://www.governance.ai/post/winter-fellowship-2026,yes,Remote,Government,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no
NextGen Intiative Fellow,Heliopolis Consulting,Remote,https://docs.google.com/forms/d/e/1FAIpQLSfs2mHDWpXZyV5cwAh-XhqB-a2vS0HlDLaFcDQeh3uPEpPXDA/viewform,yes,Remote,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Pennsylvania Science & Technology Policy AI Fellow,Pennsylvania State Legislature,"Harrisburg, PA",http://bit.ly/43nXcCs,yes,On-site,Private,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
(UK) Policy Advisor - AI Safety & Security,ControlAI,London,https://jobs.eu.lever.co/controlai/1278d31e-37e9-49c8-8b2f-3d43ba6c25fc,yes,On-site,Government,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
2025 AI Policy Fellowship: Institute for Al Policy and Strategy,Institute for Al Policy and Strategy,"Remote or in-person in Washington, DC",https://www.iaps.ai/fellowship,yes,Remote,Government,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no
Research Fellow / Senior Research Fellow / Special Projects Fellow,Safe AI Forum (SAIF),Early Career,https://airtable.com/app3inH7tD2wXqI1l/shr20Psmp9SYg2UB7,yes,On-site,Government,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no
Berkman Klein Center Call for Applications: 2025-2026 BKC Fellowship,The Berkman Klein Center for Internet & Society at Harvard University,"Cambridge,MA",https://cyber.harvard.edu/getinvolved/fellowships/2526Fellows,yes,On-site,Government,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no
AI Governance Expert,Maya,"Mandaluyong, National Capital Region, Philippines",https://www.linkedin.com/jobs/view/4173379099/,yes,Remote,Government,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no
AI Risk Analyst,First Horizon Bank,New Orleans,https://www.linkedin.com/jobs/view/4151687738/,yes,Remote,Government,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no
Policy Advisor,ControlAI,London,https://jobs.eu.lever.co/controlai/1278d31e-37e9-49c8-8b2f-3d43ba6c25fc,yes,On-site,Government,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
"Associate Director, Emerging Technology and Industry Practice",Ada Lovelace Institute,London,https://app.beapplied.com/apply/kefx3rvpmg?utm_source=atih,yes,On-site,Government,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,no
AI Governance Advisor,Mila - Institut québécois d'intelligence artificielle,Montreal,https://apply.workable.com/mila-2/j/6891AC08AF/,yes,On-site,Private,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Director, Model Governance & Monitoring",Paysafe,London,https://jobs.paysafe.com/job/London-Director%2C-Model-Governance-&-Monitoring-EC2V-7AD/1255603000/,yes,On-site,Private,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no
AI Policy Lead,Scale,"Washington, D.C.",https://scale.com/careers/4530334005,yes,On-site,Government,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no
"Research Team Lead, Frontier Red Team",Anthropic,San Francisco,https://boards.greenhouse.io/anthropic/jobs/4496557008,yes,Remote,Government,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,no,no
AI Governance Lead,American Century Investments,"Kansas City, MO",https://americancentury.wd5.myworkdayjobs.com/en-US/AmericanCenturyInvestments/details/AI-Governance-Lead_R0005119,yes,On-site,Private,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
AI & Data Governance Consultant,First Central Insurance & Technology Group,Early Career,https://firstcentral.wd3.myworkdayjobs.com/en-US/External/job/Data---AI-Governance-Consultant_JR102962,yes,On-site,Private,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Scientific Project Officers: AI/Data Scientist,European Centre for Algorithmic Transparency (European Commission),Seville (ES),https://algorithmic-transparency.ec.europa.eu/work-ecat_en,yes,On-site,Private,yes,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no
"Director of Product Management, Generative AI Privacy & Security",Google DeepMind,"Mountain View or San Francisco, CA",https://boards.greenhouse.io/deepmind/jobs/6512324,yes,On-site,Private,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no
Chief Operating Officer (COO),The Future Society,Executive/Director,https://thefuturesociety.org/work-with-us/,yes,Remote,Government,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no
Crime and Social Destabilisation Workstream Lead,AI Security Institute (UK),London,https://www.aisi.gov.uk/careers/apply?gh_jid=4399317101,yes,On-site,Government,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no
